epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34570.5,1.65385,0.88353,0.00532,0.83038,0.81819,0.85254,0.39916,1.63459,0.75898,0.00603,0.000990365,0.000990365,0.000990365
43,35372.3,1.63919,0.8671,0.00518,0.81542,0.82262,0.83733,0.39358,1.6524,0.82455,0.00608,0.000973861,0.000973861,0.000973861
44,36046.6,1.63923,0.83512,0.0052,0.86177,0.81875,0.87197,0.41015,1.65042,0.73623,0.0061,0.000957358,0.000957358,0.000957358
45,36710.9,1.65392,0.8501,0.00499,0.86687,0.83567,0.89308,0.42851,1.60489,0.7301,0.00595,0.000940855,0.000940855,0.000940855
46,37546.1,1.64638,0.84149,0.00526,0.84383,0.8462,0.86582,0.41048,1.63572,0.76686,0.00604,0.000924352,0.000924352,0.000924352
47,38205.3,1.64246,0.8443,0.00523,0.84266,0.82571,0.85399,0.41119,1.63174,0.73462,0.00602,0.000907848,0.000907848,0.000907848
48,38940,1.62589,0.8319,0.00516,0.86747,0.84774,0.9061,0.42605,1.59696,0.74359,0.00587,0.000891345,0.000891345,0.000891345
49,39806.7,1.6384,0.83231,0.00508,0.8635,0.86172,0.90358,0.42904,1.60987,0.73845,0.00598,0.000874842,0.000874842,0.000874842
50,41133.7,1.62806,0.84305,0.00505,0.84816,0.83705,0.86321,0.42384,1.59614,0.71235,0.00589,0.000858338,0.000858338,0.000858338
51,42003.4,1.63097,0.83258,0.00499,0.82014,0.81633,0.8431,0.39693,1.63098,0.74038,0.00601,0.000841835,0.000841835,0.000841835
52,42654.9,1.60393,0.82692,0.00496,0.86645,0.83267,0.87271,0.42452,1.59899,0.72848,0.00586,0.000825332,0.000825332,0.000825332
53,44313.8,1.61782,0.82464,0.00492,0.8541,0.84556,0.88016,0.42234,1.59153,0.72606,0.00587,0.000808828,0.000808828,0.000808828
54,45002.6,1.60114,0.7968,0.00486,0.85665,0.83508,0.87513,0.42238,1.59125,0.7121,0.00588,0.000792325,0.000792325,0.000792325
55,46303.6,1.6478,0.79677,0.00499,0.87448,0.82842,0.90649,0.42958,1.59015,0.73504,0.00588,0.000775822,0.000775822,0.000775822
56,46983.8,1.59601,0.78089,0.0049,0.86199,0.82024,0.88552,0.41257,1.65063,0.73494,0.00606,0.000759318,0.000759318,0.000759318
57,48348.3,1.60676,0.77217,0.00492,0.87034,0.85334,0.88652,0.42194,1.59567,0.69953,0.00589,0.000742815,0.000742815,0.000742815
58,49249.9,1.59802,0.78372,0.00492,0.8632,0.82167,0.8668,0.41387,1.61172,0.6951,0.00593,0.000726312,0.000726312,0.000726312
59,50997.9,1.62482,0.77659,0.00491,0.86849,0.85737,0.8863,0.42228,1.61014,0.73896,0.00595,0.000709809,0.000709809,0.000709809
60,52390.4,1.61766,0.76938,0.00493,0.87245,0.84991,0.90002,0.42279,1.60793,0.6996,0.00594,0.000693305,0.000693305,0.000693305
61,53549.4,1.59365,0.77143,0.00496,0.87666,0.84434,0.88769,0.43012,1.59857,0.70445,0.00589,0.000676802,0.000676802,0.000676802
62,55811.4,1.58397,0.73489,0.00488,0.86653,0.86288,0.89384,0.41533,1.61668,0.68486,0.00596,0.000660299,0.000660299,0.000660299
63,57133.1,1.5457,0.73475,0.00485,0.87465,0.8661,0.89382,0.43435,1.56806,0.70869,0.00573,0.000643795,0.000643795,0.000643795
64,58215.7,1.55185,0.74273,0.00483,0.86929,0.86589,0.89002,0.42095,1.62068,0.69047,0.00597,0.000627292,0.000627292,0.000627292
65,59807.4,1.59569,0.75755,0.00486,0.8555,0.85323,0.86959,0.41976,1.61123,0.66626,0.00591,0.000610789,0.000610789,0.000610789
66,61149,1.59056,0.73695,0.00494,0.86133,0.83431,0.88205,0.42607,1.59824,0.68543,0.00588,0.000594286,0.000594286,0.000594286
67,62633,1.59784,0.72213,0.00473,0.86088,0.85697,0.88296,0.42651,1.60182,0.67033,0.00587,0.000577782,0.000577782,0.000577782
68,64270.5,1.53967,0.71544,0.00465,0.86813,0.84281,0.86821,0.41814,1.59591,0.67445,0.00589,0.000561279,0.000561279,0.000561279
69,66347.8,1.55194,0.71637,0.00487,0.8642,0.87209,0.89074,0.43399,1.58209,0.68807,0.00583,0.000544776,0.000544776,0.000544776
